   6,   4,1391, 140,  29
  29,   8,  67,  10,2402
   6,  29,   7,1391,  10
  29,   7,   6,   8,2402
 787,   6,1391, 140,2699
   7,   6,  10,   8,1391
 787,1385,   7, 539,2699
  29,2402,  10,   8,   4
2402,  18,   7,   2,   6
 787,   6,1391,   4,   7
  29,   4,   7,   8, 787
 140,1391,   6,2699,   7
   2,  29,   5, 623,  67
  29,2402,2968,   2, 623
  67,2196,   2,  10,   8
  29,   7,   8,   4,  10
  18,  29,   8,   7,   2
   2, 623,   5,  12,  11
 140,   6,   4,1391, 790
 787,   4,   7,1391,  29
  67, 366,   2,2402,   5
   7,   4, 787,   8,  10
   8,   2,2402,   5,  12
   4,   6, 787,   7, 140
  29,   8,   4,   7,   6
 787,2699,   8, 140,  29
   2,2402,  10,   8,  12
   7,   6,   4, 180,1391
  67,2402,   2,  10,   8
2402,   5,2968,   2,  10
2402,   8,  10,  67,   6
 140,1391,   6, 790,   4
  29,   8,  10,   2,  12
 787, 140,   6,   4,1391
   7,   4,   6,  10,   8
2402,   2,   8,  10,   7
  29,   8,2402,  10,   5
  19, 120,2196, 186, 610
   6,   7,1391, 140,  10
 623,   2,  17,   8,  12
 787,   6,   4,1391,2699
   6,   4,1391,   7,2699
   2,   5,2402,  29,  12
  29,   7,  10,   8,   6
   6,1391,   7,2699,  29
  67,   2,  17,2402,  53
  29,  10,   8,   7,   4
   7,  29, 140,1391,   8
2402,  67,   8,   2,  10
2196,  67,   2,  29,  17
   5,   8,2402,   2,  67
2402,   2,  12, 623,  67
   4, 787,   7,   8,2699
 140,   6,   4,   7,2699
   4, 787,1391, 140,2402
  29,  10,   8,   6,2402
   6,  29,   8,   4,   7
  29,2402,2968,   2,  10
   6,1391, 140,  29,2699
 787,1391,  29, 140,   8
   4, 787,1391,  29, 140
 623,  29,  18,   7,   8
 787,   6,   4, 140,1391
 623,  18,1315,   2,2402
2402,   2,   8,  10,   5
  90,  13,   2,  67,  29
1391,   6,   4, 140,   7
 856, 102,   8,  65, 501
   7,   4, 787,   8,1391
 787,   6,1391,   4,   7
1391,   6, 140,   4,   7
 623,2402,   7,  29,  18
   4,   6,  10,   7,   8
   6,  29,   7, 787,  10
 623,2402,  18,  29,   2
  29,2968,  10,   8,  23
 787,   6,   4, 140,   7
  29,   8,   5,  18,   7
2402,  10,   8,   2,   7
2402,  67,   2,   8,  10
  29,   8,   5,2402,  23
  29,   8,  67,2402,   5
  19,   2,  67,  53,  90
   6, 140,   7,  29,2699
   6,   7,  29,2402,   4
   7,  10,   6,   4,2402
