   6,   4,1391, 140,  29,   8,  10,1385,  26,2402, 430, 790, 406,  23, 539,  14, 704, 450,  65, 263
  29,   8,  67,  10,2402, 102,  23,  12,   2,   5,  18,   7,  17,2968, 623, 111, 124,  34,   4,   6
   6,  29,   7,1391,  10,   8, 140,2699,   2,  14, 263,2968,  67,  23,  12, 623, 180, 790,   5,1098
  29,   7,   6,   8,2402,   4,  23, 180,  10, 263,  67,1158,  12, 623,  17,2968,   2,  14, 103,   5
 787,   6,1391, 140,2699,   8,1385,2402, 704, 406,  23, 180, 430, 263, 539, 103,1098, 669,1060,  12
   7,   6,  10,   8,1391, 787,   2,  67,2699,  12, 263,2968,  23, 623, 140,   5,  14, 180,  17,  18
 787,1385,   7, 539,2699, 790,1490,  26, 406, 689, 262,  29,  10, 418,1398,   8, 704,1729, 242,1098
  29,2402,  10,   8,   4,   6,  67,   2,  12,2968, 263, 623,2699, 787,  17,   5,2196,  23,  18,   3
2402,  18,   7,   2,   6,   8,1315,  12,   4,  10, 397,  78,2699, 187, 245,2968,  23,  11,1191,  67
 787,   6,1391,   4,   7,1385, 430,  10, 539,  26, 790, 406,1060, 704,1490,1098, 450,2402, 689, 227
  29,   4,   7,   8, 787,  10,2699,2402,1391, 180, 140,  23,  14,2968, 263,1158,  12,   2, 111,   5
 140,1391,   6,2699,   7, 430,1385, 790,  29,1060,   8, 262, 450,  10, 689, 242,  26,1098,  65, 406
   2,  29,   5, 623,  67,  12, 133,  11, 179,  18, 228,  10,   8,  17,  23,2111,2968,  92,  44,  93
  29,2402,2968,   2, 623,  11,   8,  10,  12,   7,  67, 138,  90,  34,  13,  58, 115, 890,2084,   4
  67,2196,   2,  10,   8,  12,  17,   7,  90,   5,   4, 263,2968,  19, 623,   6,  13,  15,   3,  44
  29,   7,   8,   4,  10,2402,  67, 787,   2,1391,  12,2968, 263,  23, 623, 140,   5, 180,  17,   3
  18,  29,   8,   7,   2,  12,  10,   4,   6,2699,  23,2968,  11,  17,  67, 263,  44,   5,  78, 124
   2, 623,   5,  12,  11,  10,   8,  17,  67,2968,  18, 133,  23,   7,  44,  34,   4,  15,  90, 263
 140,   6,   4,1391, 790, 450, 227,   7,1098, 242,   8, 430,  29,  10,  65,1322,1259, 689, 539, 499
