   1,   4,   0,   8,   9,  25,  31,  20,   2,  90,  15,  11,   7,  49,  24
   1,   0,   9,   4,   8,  20,   2,   7,  90,  15,  11,  31,  49,  82,   5
  31,   8,  78,  79, 118,   9,   4, 117, 131,  30,  89,  57,  50,   1,  66
   1,   4,   9,   8,   0,  20,  11,  25,   2,   7,  39,  30, 106,  90,  15
   4,  20,   1,  11,   8,  18,  31,  25,  16,   2,  10,   7,  34,  12,   3
   0,   9,  20,   8,  22,  15,  25,  90,   2,  11,   7,  31,  24,  58,  49
  31,  22,   4,  30,   1,  25,  11,  39, 106,  20, 187,   0,  56, 215,  79
   4,  10,  20,  11,   8,   7,  82,  22,  15,  13,  12, 216,  25,  54,  55
   1,  20,   9,   2,  10,   7,  22,  25,   6,  15,  55,   5,  31,  49,  16
 281, 213,  31, 168,  25, 370,  26,  22, 428, 140, 668, 354, 308,  72,   8
   4,   1,   9,  79,  80,  50, 191,  20, 217,   0,  89, 152,  39,  24, 117
   1,   4,   8,  25,  31,  20,  79,  90,  11,  24,  30, 191,  49,  39,   7
   9,   8,   0,  25,  20,  31,  90,  11,  49,  50,   2,   7,  24,  79,   6
  22,   8,   9,  25,  30,  79,  89,   4, 117, 191,  56, 118,  77,  72,   1
   1,  90,   9,   8,  20,  25,   0,  49, 104,   7,  15,  31,  50,  58,  11
   9,  20,   8,  15,   7,  11,  22,  25,  58,  49,  10,   6,  82, 104, 272
   9,   8,   4,  25,   1,  11,  39,  79,  20,   0,  80, 191,  89,  57,  77
   1,  79,  50,  24, 191,  30,  11,  89,  80,  49,  57,  51, 118, 202, 104
  80,  25,  79, 118,   4,   9, 117, 191,   1,  89,  30,  66,  39,  56,  50
  20,   9,   8,  22,  25,  31,   2,  58,   6, 104,  10,  16,  79,  50,  18
   1,   8,   4,  25,  31,  20,  79,  24,  11,  90,  93, 191,  30,  39,   2
   8,   9,  25,  31,  90,  11,  49,  50,  15,   2,  79,   7,  93, 104,  58
   0,   1,  11,   9,  20,   4,   2,   7,   8,  10,  15,   6,  25,  31,  16
   8,  25,   1,   4,  31,   9,  24,  95,  93,  50,  79,  20, 365,  49,  65
   1,   9,  20,  11,  22,  25,  31,   2,   7,  15,  90,  58,   6,  18,  30
   1,   4,  11,  10,  16,   2,   9,  12,  18,   8,   3, 275,  22,   6,  34
  18,  16,   0,  20,  11,   1,   8,   9,  48,  85,  22,   7,  31,   3,  10
   8,  95,  25,  24, 202,  93,  51, 117,  65,  89,   9,  50,  30,  27,  39
  31,  25, 191,  80,  50, 136,  66,   9,  30,  57,   4,  24, 118,  39,  51
  25,   8,  28, 191,  80, 136, 131,  61,  79,  89,  57, 129,  50, 217, 173
   4,   8,  25,  90,  31,  11,  49,   7,  50,  15,  24, 104, 191,  30,   2
   0,  20,   1,   4,  18,  11,  34,   9,   7,  48,   3,   2, 232,  12,  10
   4,  20,   9,   8,   0,  25,  22,  31,   6,   7,  90,   2,  15,  10,  17
  20,   4,   0,   1,  18,  11,  16,   9,   8,  25,  48,   7,  22,   6,   2
  25,   8,  31,   1,   4,   9,  28, 191,  79,   0,  61,  80,  46,  24,  57
   1,   4,  20,   8,  11,   7,  22,  25,  31,  15,   5,  82,   6,  49,  55
   1,  20,   9,   8,  22,   2,  25,  31,  10,   6,   7,  17,  49,  55,  18
   8,  31,  22,  25,  11,   0,  20,  79,  39,  80,   2, 191, 106,  50,  56
   1,   0,   9,  11,   8,   7,  25,  10,  31,   2,   6,  49,  18,  90,  16
  31,   1,  25,  24,   4,  99,  93,   9,  95,  65,  79, 342,  50,  90,  20
   8,  31,  22,  25,   9,   4,   1,  79,  30,  80, 191,  56, 117,  39,  20
   9,   1,  31,   8,   4,  37,  25,  22, 291, 258,  39,  30, 283,  90,  50
  25, 191,  79,   9,  89,  66, 117,   1,  30,  51,  39,  28,  95,  80,  24
   4,   9,   8,   1,  25,  30,  50,  79,  77,  89, 191,  90,  49,  15, 289
 546, 214,  77,  96, 128, 289, 185,  31, 263, 744, 187, 455, 425, 178, 416
  22,  11,   1,   4,  25,  80,  30,  77,  20,  39,  79,  42,   0, 131, 289
   8,  25, 191,  79,  89,  66,  61, 117, 129,  51,  30,  50,  56,  72,  69
   9,  22,   4,   1,  30,  77,  25,   0,  11, 215,  39,   2,  20,  80,  89
   4,   8,   9,  25,  79,  20,  50,   0,  39, 191,  11,  56,  89,  49,  90
