  31,  25,   4,   8,   1,   9,  80,   0,  20, 191,  79,  90, 117,  56, 104,  15,  39,  11,  24,  78
  22,  25,   9,   8,   4,  31,  30,  11,  39,   1,  90,  24,   0,  89, 117,  28, 191,  15,  80, 217
  31,   8,   4,  79,   9,  56,  78,   1, 117, 118,  30,   0,  89,  28,  20,  50,  57,  72,  24,  66
   9,  22,   4,  20,   1,   8,   2,  11,  18,  10,  25,   7,  15,  80,  12,  58,  39,   6,  90,  85
   0,  16,   1,  20,   7, 335,   9,  13,  82,  10,  12,  11,  18,   4,  55,   5, 218,   3,  25, 216
   1,  22,   9,  20,   0,  58,  90,  24,  50,  11, 104,  15,   2,   8,  25,   7,  31,  49,  56,  93
 289,  31,  22,  39, 111,  30, 253, 370,   8,  96, 208, 194, 136,  42, 123,  66,   4, 129,  73,  57
   0,  15,   1,   9,   8,   4,  25,  10,  20,  79, 216,   7,  11,  82, 327, 104,  80, 218,  39,  56
   1,  31,  22,   9,   0,  20,  79,  11,  39,   2,  25,  80,   7,  15, 117,  56,  24,  89,  43,  10
  31,  22, 134,  38,   4,  10,   0, 806,  72, 686,  20, 538,  11, 145, 305, 387,   2,  34,  28,   1
   9, 117,  31,  25,   4,  80,   1,   0,  79,  24,  50,  11,  20,  39,  72, 131,  15, 202,  89,  56
  22,   1,   4,   8,  31, 117,  24,  20,  25,   2,  39,  50,  90,  15,  79,  56,  51,   7,  89,  10
   1,   0,  22,  20,   9,  90,   2,   6,   7,   8,  16,  11,  49, 104,  25,  31,  50,  18,  10,  43
  22,  68,  57,  28, 289, 136,  89,  61,   8, 191,  30, 775,  25, 135,  72, 118, 202,   9, 214,  79
   1,  22,  79,  20,   2,  50,  95,  89,   8,  24, 252, 104,   0,   9,  43,  31, 193,   7,  15, 121
   5,   1,   2,   0,  20,  22,  10,   8,  82,  25, 216,  16,  90,   7,  11,  15, 324,  24,  81, 365
  57,  31,   9,  22,  25,   8,  72,  51,  39,  80,  77,   4, 117,  89,  79,   1, 191,  56,  28,   0
   4,   8,  22,  79,  20,  39,   1, 118, 191,  11,  24,  15,  90,  72,  42,  80,  56,  89,  50,  49
  80, 117,  79,  30, 106,  89,  50,  57,  24, 191,  22, 136,  28,   1,   0,  43, 217,  39,  78,  31
   0,   2,   1,   9,   4,  16,  20,  10,   8,  55,  90,   5, 104,  58,  13,  25,  12,  18,  82,  31
   8,   1,  25,   4,  31,   9, 104,  93,  20,  90,   2,   7,  56,  79,  15,  58, 191,  10,  24, 117
  22,  79,  93,  40,  90,  95,   4, 121,  50, 117,  15,   9,   8,   0,  39, 104,  31,   7,   2,  11
   1,   9,  31,  11,   2,   8,   4,  90,   0,  79,  25,  39,  30,  49, 104,  65,  20,  80,  10,  58
 598, 961, 182,  42, 761, 402, 590, 665, 554, 851, 441, 265, 139, 120, 472, 443,  77, 646, 485,  68
   1,   2,   4,   7,   9,  11,  22,   8,  31,  15,  12,   5,  18,  16,  58,   6,  25,  34, 104,  90
 163, 430, 275, 324, 627,  20,  19,  18,  12, 431, 594, 878, 642,   1, 377, 706,  27, 352,  34, 507
   1,   0,  20,  11,  34,  48,  16,  31,  18,   2,   7,   9,  10,  58,   5, 272,  49,  22,  90,  79
 117,  78,  39, 517,  22, 136, 191,  80, 118,  56,  77, 380,  89, 148, 131,   8, 171,  95,  25,  57
  31,  89,   8, 136, 191,  22,  66, 265, 118, 131, 441, 250, 289, 443,  80,  42,  39,  97, 761, 189
  66,  25, 418, 148, 453,  68, 575,  79, 136,  56,  57,  96,  61,  80,   8,  39,   4, 484,  78,  72
  22,   4,  90,  49,   0,   6,   9,  25,  15,  50,  31,   7,   2,  16, 327,  80,   8,  93,  10, 104
   9,   0,   2,  22,  16,  11, 175,  31,  39,  10,  12,  82,   5,  13,  20,  58,   4,   7,  90,  15
   1,  20,   4,  11,   2,  22,   9,  25,   7,  58,  90, 104,  10,  18, 106,   8,  15,   6,  80,  16
  11,  20,  48,   0,  16,  58,   7,   4,  34,   5,  82,   6,   1,  55, 335, 377,  13,   2, 275,  10
   1, 191,   8,  93,  24,  22,  79,  56,  89,   4,  31,  65,  20,   9,   7,  43, 202,   0,  80,  51
   1,  10,  31,   8,  11,  22,   4,  20,  15,  25,   7,  13,   5,  16,  82,   6, 104,  90,  55,  79
   1,   2,  10,  20,   3,   4,  22,   7, 232,  11,   8,  17,  58,   6,  18,  25,   9,  55,  16,  12
   1,  22,   0,   9,   7,  31,  11,   8,  18,  15,  25,  58,   6,   2,  90,  49,  10,  79,  16,  12
   1,   4,   9,  90,  31,  15,   0,  11,   8,  25,  58,  79,   2,  39,   7, 104, 272, 117,  80,  40
  22,  80,   4,  79,   9,  39,  31, 117,  24,  11,  69, 118,   0,   2,   1,  10,  25,  77,  30,  90
  31,  22,  80,  79,  28, 117,   8, 136,  72, 138, 191, 118,  78,  56,  57,  66,  39,  30,   4,  77
   4,  77,  31,   9,  24,  39,   8,  89,  56,  50, 118, 117,  30,   1,  80, 256,  79,  42,  25,  65
  31,  22,  80, 148,   8,  30,  56, 453, 570, 194,  68,  89, 539,  95, 250, 488, 117,  61,  72,  79
   9,  31,   8, 289,  77,   4,   1,  42,  25,  57,  30,  39,  20,  15, 195, 118,  82,  24, 117,   0
 546, 215, 212, 337, 259, 255, 262, 318, 846, 814, 575, 487, 477, 845, 613, 413, 645,  73, 331,  27
   8,   2,   0,  11,   1,   4,  30,  22,  37, 131,  80, 118, 115, 289, 217,  10,   5,  20, 621, 313
  80, 117,  61,  72,  66, 191,  28, 131, 194,  92, 118, 129, 265,  31, 253,  89, 398, 250, 125, 173
   2,  39,   1,   8,  30,   0,   4,  10,  79,  22, 425,  43,  51,  15,  25,  11,  20, 131,  42,  80
  22,   4,  89,  79,   9,   1,  66,  20,  25, 117, 128,  15,   8, 191,  50,  72,  93,   0,  80,  24
   1,   0,   9,  10,   4,   7,   8,  20,  22,  55,  15, 104,  31,  49,   5,  25,  12,  18,  16,   6
   4,   1,   0,  22,  31,  25,   8,  11,   2,   6,   7,  15,  12,  16,  10,  58,  39,   5,  30,  56
  80, 118,  78,  22, 228,   8, 397,  77, 398,  66, 117,  39, 131,  30,  56,  57, 562, 171, 380, 144
  79,  39,  50, 202, 117, 217,   8, 191,  56,  22, 342,  25,   1,  43,  31,  92,  80,  93,  90, 253
  31,  30,   8,  22,   4,  39,  80,  79,  25,   1, 289, 117,  77,  20,   0, 118, 131,  57, 191,  11
  25,  20,  79,   4,  39,   8,   9,  24,   1,  56,  10,   2,   7,  93,  95,  80, 118, 191,  89, 310
  28,  31,  89,   8, 191,   4, 117,  66,  80,   9,  25, 136, 118,  30,  57, 265,  77, 125,  39,  79
