   1,   4,   0,   8,   9,  25,  31,  20,   2,  90
   1,   0,   9,   4,   8,  20,   2,   7,  90,  15
  31,   8,  78,  79, 118,   9,   4, 117, 131,  30
   1,   4,   9,   8,   0,  20,  11,  25,   2,   7
   4,  20,   1,  11,   8,  18,  31,  25,  16,   2
   0,   9,  20,   8,  22,  15,  25,  90,   2,  11
  31,  22,   4,  30,   1,  25,  11,  39, 106,  20
   4,  10,  20,  11,   8,   7,  82,  22,  15,  13
   1,  20,   9,   2,  10,   7,  22,  25,   6,  15
 281, 213,  31, 168,  25, 370,  26,  22, 428, 140
   4,   1,   9,  79,  80,  50, 191,  20, 217,   0
   1,   4,   8,  25,  31,  20,  79,  90,  11,  24
   9,   8,   0,  25,  20,  31,  90,  11,  49,  50
  22,   8,   9,  25,  30,  79,  89,   4, 117, 191
   1,  90,   9,   8,  20,  25,   0,  49, 104,   7
   9,  20,   8,  15,   7,  11,  22,  25,  58,  49
   9,   8,   4,  25,   1,  11,  39,  79,  20,   0
   1,  79,  50,  24, 191,  30,  11,  89,  80,  49
  80,  25,  79, 118,   4,   9, 117, 191,   1,  89
  20,   9,   8,  22,  25,  31,   2,  58,   6, 104
   1,   8,   4,  25,  31,  20,  79,  24,  11,  90
   8,   9,  25,  31,  90,  11,  49,  50,  15,   2
   0,   1,  11,   9,  20,   4,   2,   7,   8,  10
   8,  25,   1,   4,  31,   9,  24,  95,  93,  50
   1,   9,  20,  11,  22,  25,  31,   2,   7,  15
   1,   4,  11,  10,  16,   2,   9,  12,  18,   8
  18,  16,   0,  20,  11,   1,   8,   9,  48,  85
   8,  95,  25,  24, 202,  93,  51, 117,  65,  89
  31,  25, 191,  80,  50, 136,  66,   9,  30,  57
  25,   8,  28, 191,  80, 136, 131,  61,  79,  89
   4,   8,  25,  90,  31,  11,  49,   7,  50,  15
   0,  20,   1,   4,  18,  11,  34,   9,   7,  48
   4,  20,   9,   8,   0,  25,  22,  31,   6,   7
  20,   4,   0,   1,  18,  11,  16,   9,   8,  25
  25,   8,  31,   1,   4,   9,  28, 191,  79,   0
   1,   4,  20,   8,  11,   7,  22,  25,  31,  15
   1,  20,   9,   8,  22,   2,  25,  31,  10,   6
   8,  31,  22,  25,  11,   0,  20,  79,  39,  80
   1,   0,   9,  11,   8,   7,  25,  10,  31,   2
  31,   1,  25,  24,   4,  99,  93,   9,  95,  65
   8,  31,  22,  25,   9,   4,   1,  79,  30,  80
   9,   1,  31,   8,   4,  37,  25,  22, 291, 258
  25, 191,  79,   9,  89,  66, 117,   1,  30,  51
   4,   9,   8,   1,  25,  30,  50,  79,  77,  89
 546, 214,  77,  96, 128, 289, 185,  31, 263, 744
  22,  11,   1,   4,  25,  80,  30,  77,  20,  39
   8,  25, 191,  79,  89,  66,  61, 117, 129,  51
   9,  22,   4,   1,  30,  77,  25,   0,  11, 215
   4,   8,   9,  25,  79,  20,  50,   0,  39, 191
   4,   9,  20,  10,   8,  22,  31,   7,  25,  12
   4,   0,   9,   8,  22,  11,  31,   2,   7,  49
 138, 131, 228, 398, 250,  22, 397, 669,   8, 173
  95,  99, 365, 342,  27, 348,  22,  90,  50,   8
  31,   8, 289,  77,  30,   4,  25,  39,   1,  79
   8,   1,   9,  20,  11,  79,  50,  30, 191,  90
  31,  25,  22,   8, 191,  79,  89,  57,  80, 117
   4,   8,  11,   1,  22,   9,   0,  25,  16,  34
   1,   4,   9,   8,  20,  25,   0,  31,  11,  24
  31,  22,  30,  25,   9, 191,  39,  56,  57,  79
  31,  77,  22,  30, 289,   8, 118,  42, 134, 256
   4,   8,  20,  11,  10,  15,  22,  82,  25,  31
