   1,  31,   4,  25,   8, 191,   9,  90,  79,   0
  31,   4,  25,   1,   8,   9, 191,  79,  30,  90
  22,  31,  80,  78, 117,  79, 131,  50,   8,  57
  22,   4,   8,   1,  25,   9,  11,  20,  56,  34
   4,   1,   8,   2,  31,  11,  25,  20,  10,  16
  22,  90,   8,  31,   9,  20,   7,   0,  58,  24
  31,  30,  56,   9,  22,  39,  57, 202,  77,   4
   0,  10,   4,  22,  15,   8,  11,   7,  25,  55
   9,   1,   2,  11,  22,  20,  25,  31,  10,  16
 213, 281, 168, 733, 140,  31, 370,  22, 320, 732
   4,   1,   9, 191,  79,  50,  89,  56,  80,  30
  22,  31,   8,   4,  25,   1,  79, 191, 117,  90
   4,   8,  31,  25,   9,   0,   7,  50,  90,  24
  22,  57,  30,   8,  89,  51,  79, 117,  56, 136
  31,   1,   8,  79,  24, 191,  25,   9,  50,  89
   1,  22,   9,  20,   0,   8,  90,  15,   2,   7
  22,   4,   8,   1,  79,   9,  30,  80,  89, 117
   8,  79,  30,  89, 117,  25,  51,   1,  57,  80
  22,  89,  66,  30,  79, 339, 217,  57,  92,  43
   9,   8,  20,  31,  25,  90,   2,  58,  11,  50
  22,   1,   8,   4,  31,  25,  11,  20, 104,   2
  22,   8,  31,  20,   9,  90,  25,   2,  15,  79
   9,   0,   1,  31,   4,   8,   2,  11,  55,  30
 590, 120,  42, 118,  78, 443, 253, 380,  80, 441
   1,   4,   9,   8,  11,   2,  22,  25,  18,  15
   1,   2,   4,  11,   9, 335,  19,  10,  22,   8
   0,  16,  18,  11,   1,  20,  48,  42,  22,  31
   8, 117,  72,  90,  39,   4,  25,  50,   9,  89
  31,  79, 191,  66,  57,  30,  39, 217,   9,  25
  57, 134,  89,  28,  66,  92, 136, 148,  22, 191
   1,   4,   8,  20,  31,  25,  90,  15,   2,  24
   0,   4,   2,  82,  22,   9,  34,  20,   1,  10
   9,   8,  22,   4,  20,   2,  11,  31,  25,  10
  16,   4,  48,  20,   0,   1,  22,   6,  25,  11
  31,   8,   4,   1,  25,  90,  80,  79, 250, 117
   0,   1,  11,   8,   4,   7,  20,   5,  15,  22
   9,   1,  22,   2,   8,  20,  25,  31,  10,   7
  22,  31,   8,  25,   1,  11,   0,  79,  39,  56
   1,  20,  90,   8,  49,   0,  31,  25,  24,  58
  22,  93,  95,   1,  31,  79,  40, 191,   4, 342
  31,  22,   9,  30,  77,  39,   8,   4,  72,  25
  31,   8,  79, 191,   4,   1,  80,  28, 117,  51
 191,  89,  79, 117,  56,   1,  95,  80,  24,  39
  22,  77,  30,  79,  89,   4,   9,   8,  51,  80
  31,  77,  72,  57,  66,  30,  22, 117,  56,  39
  31,  77,  89,  79, 289,  30,  80, 546, 118,  96
  80,  31,  61,  25, 191, 136,  66, 131,  79, 117
  22,  56,  30,   8,  11,   4,   1,  25,  77,  57
   4,   1,   8,   9,  79,  89, 118,  90,  30,  20
   1,  11,   4,  22,   8,  10,  25,  20,  31,   7
   4,   7,   0,  22,   8,   9,   2,  25,  31,  11
 118,  31,  22, 131, 171, 265, 117,  28, 443,  42
  79,  31,   8,   1,   4, 191,  24,  39,  95,  90
  31,  89,   8,  77,  57,  30,  56,  39, 191,  66
   8,  20,   1,   9,  56,  11,  79,  90, 191,  24
  31, 117,  89, 191,  50,  25,  79,   8, 118, 131
  22,   4,   8,  30,  11,   1,  25,  56,  39,  18
  31,   4,   8,   1,  79,  30,  39,  89,  24,   9
  89, 117,  22,  66,  79,  77, 158,   8,  57,  92
 118,  78,  77,  31, 125, 131,  89, 128, 117, 398
   4,   9,   8,  31,  20,  11,  15,  25,  90,   7
  22, 118, 131,  89,  79,   8, 117,   9,  78,  30
  89,  31,  66, 117, 125,  79,  51,  77,  57,  30
 117,  31,  42,  78, 118,  80, 125, 441, 398, 228
   1,   0,   8,   9,   2,  31,  25,  15,  20,  90
