  31,  25,   4,   8,   1
  22,  25,   9,   8,   4
  31,   8,   4,  79,   9
   9,  22,   4,  20,   1
   0,  16,   1,  20,   7
   1,  22,   9,  20,   0
 289,  31,  22,  39, 111
   0,  15,   1,   9,   8
   1,  31,  22,   9,   0
  31,  22, 134,  38,   4
   9, 117,  31,  25,   4
  22,   1,   4,   8,  31
   1,   0,  22,  20,   9
  22,  68,  57,  28, 289
   1,  22,  79,  20,   2
   5,   1,   2,   0,  20
  57,  31,   9,  22,  25
   4,   8,  22,  79,  20
  80, 117,  79,  30, 106
   0,   2,   1,   9,   4
   8,   1,  25,   4,  31
  22,  79,  93,  40,  90
   1,   9,  31,  11,   2
 598, 961, 182,  42, 761
   1,   2,   4,   7,   9
 163, 430, 275, 324, 627
   1,   0,  20,  11,  34
 117,  78,  39, 517,  22
  31,  89,   8, 136, 191
  66,  25, 418, 148, 453
  22,   4,  90,  49,   0
   9,   0,   2,  22,  16
   1,  20,   4,  11,   2
  11,  20,  48,   0,  16
   1, 191,   8,  93,  24
   1,  10,  31,   8,  11
   1,   2,  10,  20,   3
   1,  22,   0,   9,   7
   1,   4,   9,  90,  31
  22,  80,   4,  79,   9
  31,  22,  80,  79,  28
   4,  77,  31,   9,  24
  31,  22,  80, 148,   8
   9,  31,   8, 289,  77
 546, 215, 212, 337, 259
   8,   2,   0,  11,   1
  80, 117,  61,  72,  66
   2,  39,   1,   8,  30
  22,   4,  89,  79,   9
   1,   0,   9,  10,   4
   4,   1,   0,  22,  31
  80, 118,  78,  22, 228
  79,  39,  50, 202, 117
  31,  30,   8,  22,   4
  25,  20,  79,   4,  39
  28,  31,  89,   8, 191
  28,  57,  22,  77, 144
   8,   4,  31,  25,   9
  31,  79, 118,   4,  90
 256, 265, 539,  56,  22
   0,   8,   9,   4,  20
  31,  22,  77,  78, 118
  56,  80, 441,  89,  79
 597,  68, 308, 243, 800
   1,   9,   0,  31,  25
   8,  31,  79, 136,  39
  31,  77, 136,   8, 250
   4,  25,   1,   0,  58
  31, 118,  22,  80,  79
   4,   1,   0,   2,  20
   4,   2,  20,  22,   0
 744, 455, 416, 719, 394
  31,  22,   1,   8,  79
  22,  31,   0,   4,   1
  80, 118,  30,   4, 131
  22,   0,   9,   8,  39
  31,  22,   9,   1,  79
   0,   2,   9,   1,  10
  31, 194, 136,  25,   8
   4,   1,   9,   0,  20
  28, 117,  66,  89,  31
   8,   4,  31,  79,  39
  22,   0,   9,  20,  31
  22,  31,   9,  39,   0
   9,   4,   0,   1,  25
  31,  28,  30, 117, 171
   9,  22,   1,  31,   8
  22,   0,   4,   2,   8
  22,   1,  31,   8,   0
  30,  39,  79,  42,   8
   1,   5,   2,   9,  10
  42,  77, 118, 120, 117
  22, 247, 505,   4,  25
 216,   0,  22, 661,   2
  31,  22,   9,  72,  57
   4,   1,   8,  89,  79
  54,   0,  13,   9,   2
 289,  66, 370,  42, 123
 116, 645, 348,  63, 254
   8,  31, 136, 134,  22
   4,  20,   2,   9,  22
   1,   2,   9,   4,  22
 518, 111, 554,  14, 520
   0,   9,  20,   1,   2
  22,  31, 191,   8,  30
 251, 348, 188, 326, 254
   1,   8,  39,   9,  20
   0,   9,   4,  22,   2
   2,   0,  55,   4,  11
 851, 501, 676, 653, 539
   2,   4,   0,  15,   9
  31,   8,  72,  77, 118
  31,  22,   1,   8,  80
  31,  25,   4,   1,   8
  22,  31,   1,   8, 191
   1,   4,  22,  11,   2
   8,   9,   1,   4,  80
   4, 327, 439,  20, 585
  22,   4, 191,   9,   8
  31,   8,   4, 123,  77
   1,   0,  90,  24,   4
  22, 117,  80,   9,  79
   0,   9,   1,  11,  22
  22,   9,   1,   0,  20
  57,  31,  25,  72,  80
   0,   1,   4,   9,  11
  31,   1,   9,   8,  10
   0,   9,   4,  22,  31
   2,   1,   9,  10,   8
   0,   4,  20,  11,   2
   1,   9,   4,   2,  22
  68, 310, 110,  25, 418
  22,   1,   4,   9,   7
   0,  20,  11,  16,   4
  51,  73,  72, 194,  66
  31, 117,   1,  89,   4
  22, 212,  39,  57,  72
   4,   0,  20,  22,  15
 106,  89, 225,  20,  31
  89,  80,  74,  72,   8
   8,  31,   1,  25,   0
   9,   6,   4,  50,   1
  31,  22,   4,  25,   1
  22,   8,   9,  57,  25
  56,  31,  66, 191,  80
  20,   4,   0,  25,  22
  72, 263,  31, 131,  66
  80,  22,  31, 117,  79
  40,   9,   4,  31, 310
   1,   8,  11,  31,   4
   2,  25, 104,  10,  20
   0,  11,   1,   4,  22
   4,   0,  15,  22,  20
   0,  31,  22,   8,  20
 289, 744, 123, 117, 444
  22,   1,  20,   9,   7
  90,   1,  22,  93,  40
  20, 163, 335,   0,   4
  20,   0,   1,  90,   4
  20,   0,   1,  22,   9
  72, 604, 767,   8,  25
  57, 134,  25,  31,  72
  31,  80, 370,  22,   4
   2,   9,  10,   1,   4
   9,   0,   1,  31,   4
   8,  31,  92, 134, 106
   2,   1,  31,   4,   9
   0,   9, 176,   1,  10
   8,   1,   9,  31,  22
 443, 136, 117, 116, 122
   0,   9,  10,  11,   4
  22,   0,   9,  50,  20
  22,   9,   0,  15,  24
  20,   0,   9,  90,  15
   9,  22,  31,   1,   2
  25,  31, 191,  79,  72
   1,   0,   4,  18,  51
  20,   1, 106,  14,   4
   0,  25,  15,   1,  22
   0,  31,   9,   1,   8
   1,  22,   4,  90,   0
  22,   1,  31,  20,   8
  20,  18,   7,  16,  34
   0,  20,   4,  31,  18
   9,  31, 415, 289,  77
